R,G,B,Drought_AmbientTemp,Drought_ObjectTemp
65,106,68,26.71,25.37
64,108,66,26.71,25.41
62,108,67,26.71,25.37
61,107,67,26.71,25.41
61,106,64,26.71,25.37
61,107,61,26.71,25.41
57,107,63,26.71,25.37
51,106,66,26.71,25.41
48,105,61,26.71,25.37
48,106,60,26.71,25.41
50,103,57,26.71,25.37
48,104,61,26.71,25.41
45,107,60,26.71,25.37
44,107,61,26.71,25.41
41,105,61,26.71,25.37
42,103,63,26.71,25.41
42,102,61,26.71,25.37
37,102,63,26.71,25.41
37,101,64,26.71,25.37
33,106,62,26.71,25.41
38,107,65,26.71,25.37
39,108,66,26.71,25.41
37,112,65,26.71,25.37
34,114,71,26.71,25.41
36,117,73,26.71,25.37
41,119,75,26.71,25.41
42,122,80,26.71,25.37
41,125,82,26.71,25.41
44,127,83,26.71,25.37
46,128,86,26.71,25.41
45,129,83,26.71,25.37
48,129,84,26.71,25.41
46,129,83,26.71,25.37
44,128,83,26.71,25.41
44,127,81,26.71,25.37
47,126,79,26.71,25.41
47,124,75,26.71,25.37
45,122,76,26.71,25.41
42,120,74,26.71,25.37
37,118,75,26.71,25.41
34,117,74,26.71,25.37
38,117,74,26.71,25.41
39,115,74,26.71,25.37
39,113,77,26.71,25.41
39,112,73,26.71,25.37
34,111,67,26.71,25.41
33,107,66,26.71,25.37
32,106,66,26.71,25.41
32,105,66,26.71,25.37
35,103,61,26.71,25.41
29,101,60,26.71,25.37
30,103,58,26.71,25.41
27,100,58,26.71,25.37
28,97,60,26.71,25.41
92,125,80,26.71,25.37
93,124,78,26.71,25.41
87,125,82,26.71,25.37
88,124,84,26.71,25.41
89,123,80,26.71,25.37
85,122,81,26.71,25.41
79,124,78,26.71,25.37
77,123,75,26.71,25.41
76,122,70,26.71,25.37
76,118,69,26.71,25.41
71,118,69,26.71,25.37
67,116,72,26.71,25.41
63,115,69,26.71,25.37
60,113,69,26.71,25.41
60,110,67,26.71,25.37
61,109,67,26.71,25.41
62,108,67,26.71,25.37
62,106,69,26.71,25.41
60,108,71,26.71,25.37
61,109,69,26.71,25.41
61,110,71,26.71,25.37
59,112,69,26.71,25.41
59,114,70,26.71,25.37
61,113,71,26.71,25.41
63,110,77,26.71,25.37
61,109,75,26.71,25.41
62,110,72,26.71,25.37
59,111,69,26.71,25.41
59,112,65,26.71,25.37
58,109,67,26.71,25.41
57,108,68,26.71,25.37
56,105,67,26.71,25.41
55,108,68,26.71,25.37
52,110,66,26.71,25.41
53,109,66,26.71,25.37
54,108,67,26.71,25.41
54,109,66,26.71,25.37
57,108,63,26.71,25.41
62,107,65,26.71,25.37
61,106,70,26.71,25.41
58,109,73,26.71,25.37
57,111,74,26.71,25.41
60,109,73,26.71,25.37
60,110,71,26.71,25.41
61,110,73,26.71,25.37
69,106,70,26.71,25.41
70,107,68,26.71,25.37
64,108,69,26.71,25.41
59,109,72,26.71,25.37
62,106,70,26.71,25.41
64,107,64,26.71,25.37
63,106,63,26.71,25.41
60,105,62,26.71,25.37
52,106,64,26.71,25.41
48,109,61,26.71,25.37
48,105,59,26.71,25.41
50,104,59,26.71,25.37
48,105,62,26.71,25.41
44,107,58,26.71,25.37
44,106,61,26.71,25.41
39,106,63,26.71,25.37
40,104,59,26.71,25.41
39,102,60,26.71,25.37
36,104,62,26.71,25.41
33,104,66,26.71,25.37
35,105,66,26.71,25.41
36,109,67,26.71,25.37
36,111,68,26.71,25.41
39,111,70,26.71,25.37
37,115,71,26.71,25.41
39,118,73,26.71,25.37
46,118,80,26.71,25.41
40,122,83,26.71,25.37
41,127,84,26.71,25.41
45,127,88,26.71,25.37
49,127,89,26.71,25.41
48,129,88,26.71,25.37
45,129,86,26.71,25.41
47,128,83,26.71,25.37
46,128,82,26.71,25.41
47,125,85,26.71,25.37
47,127,80,26.71,25.41
46,125,77,26.71,25.37
47,122,74,26.71,25.41
45,121,75,26.71,25.37
40,119,75,26.71,25.41
37,119,77,26.71,25.37
39,116,78,26.71,25.41
42,115,74,26.71,25.37
